nom,adresse,telephone,email,representant,site,source,doublon_de,raison
L'AUTO-D-POTES,33710 Tauriac,06 47 31 86 09,lauto-d-potes@live.fr,,http://lautodpotes.fr,retrocalage,L'AUTO-D-POTES,email: lauto-d-potes@live.fr
RÉTRO MOBILE CLUB DOMPIERROIS,03290 Dompierre-sur-Besbre,06 73 90 01 65,rmcdomp@gmail.com,,http://www.retromobiledompierre.sitew.fr,retrocalage,RÉTRO MOBILE CLUB DOMPIERROIS,email: rmcdomp@gmail.com
CLUB JURASSIEN DE VÉHICULES D'EPOQUE,39000 Lons-le-Saunier,07 88 09 22 67,club-contact@cjve.fr,,https://www.cjve.fr,retrocalage,CLUB JURASSIEN DE VÉHICULES D'ÉPOQUE LONS-LE-SAUNIER - CJVE,email: club-contact@cjve.fr
FOUS DES VIEILLES ANGLAISES,69970 Chaponnay,06 01 40 77 61,,,http://www.fdva.fr,retrocalage,FOUS DES VIEILLES ANGLAISES,tel: 0601407761
CLUB SAINTONGEAIS DE VEHICULES D'EPOQUE,17100 Saintes,07 81 45 39 50,,,http://csve17.club,retrocalage,CLUB SAINTONGEAIS DE VÉHICULES D'ÉPOQUE,tel: 0781453950
LES AMATEURS DE VIEILLES CARETTES,62880 Vendin-le-Vieil,03 21 69 43 39,lamiaux.jean-pierre@orange.fr,,http://les-amateurs-de-vieilles-carettes.e-monsite.com,retrocalage,LES AMATEURS DE VIEILLES CARETTES,email: lamiaux.jean-pierre@orange.fr
FLORIDE CARAVELLE CLUB DE FRANCE,57230 Eguelshardt,03 87 96 28 87,floricarclub@wanadoo.fr,,http://fccdf.free.fr,retrocalage,FLORIDE CARAVELLE CLUB DE FRANCE,email: floricarclub@wanadoo.fr
LES GUIMBARDES FARINOISES,01480 Fareins,06 09 43 96 37,lesguimbardesfarinoises@gmail.com,,http://lesguimbardesfarinoises.asso-web.com,retrocalage,LES GUIMBARDES FARINOISES,email: lesguimbardesfarinoises@gmail.com
ASSOCIATION VÉHICULES ET ÉQUIPEMENTS MILITAIRES 86,86530 Cenon-sur-Vienne,05 49 23 09 49,AVEM86@hotmail.fr,,http://www.avem86.com,retrocalage,A.V.E.M 86,email: avem86@hotmail.fr
C.A.R. DOUAI,59580 Emerchicourt,06 47 22 38 63,car59douai@gmail.com,,http://cardouai.fr,retrocalage,CAR DOUAI - CLUB DES AMATEURS D'ANCIENNES RENAULT,tel: 0647223863
CLUB DU LITTORAL AUTO MOTO SCOOTER,17450 Fouras,06 06 46 93 69,charles.beaufume@wanadoo.fr,,,retrocalage,CLUB DU LITTORAL AUTO MOTO SCOOTER - CLAMS,email: charles.beaufume@wanadoo.fr
SQUADRA ALFA ROMEO OCCITANIE,11600 Malves-en-Minervois,06 18 49 83 46,squadraalfaromeooccitanie@gmail.com,,http://alfa-romeo-occitanie.forumactif.com,retrocalage,MUSEO VIVO MIDI-PYRÉNÉES,tel: 0618498346
AUTOMOBILE CLUB DU JOVIAL COLLECTIONNEUR,41110 Saint-Aignan,06 60 07 95 99,alainjean.metivier@orange.fr,,,retrocalage,AUTOMOBILE CLUB DU JOVIAL COLLECTIONNEUR - ACJC,email: alainjean.metivier@orange.fr
VESONTIO CLASSIC CARS,25000 Besançon,06 63 08 05 72,vesontiojeanmuller@gmail.com,,http://www.vesontioclassiccars.fr,retrocalage,VESONTIO CLASSIC CARS,tel: 0663080572
CLUB RENAULT 25 FRANCAIS,77860 Quincy-Voisins,,president@renault25.com,,http://www.renault25.com,retrocalage,CLUB RENAULT 25 FRANÇAIS,email: president@renault25.com
AUTOMOBILE BISCARROSSE CLUB,40600 Biscarrosse,06 09 67 15 83,autobiscarrosseclub@gmail.com,,http://www.autobiscarrosseclub.com,retrocalage,AUTO BISCARROSSE CLUB,tel: 0609671583
BELFORT AUTO RETRO,90000 Belfort,06 95 11 74 97,secretariatbelfortautoretro@yahoo.com,,https://www.facebook.com/BelfortAutoRetro/,retrocalage,BELFORT AUTO RÉTRO,email: secretariatbelfortautoretro@yahoo.com
CLUB FORD RS80,38550 Auberives-sur-Vareze,04 74 79 90 89,papyford@hotmail.fr,,http://www.rs80.fr,retrocalage,CLUB FORD RS 80,email: papyford@hotmail.fr
LES VIEUX VÉHICULES DE LA VALLOIRE,26140 Anneyron,,vieux.vehicules@gmail.com,,http://assovvv.free.fr,retrocalage,LES VIEUX VÉHICULES DE LA VALLOIRE,email: vieux.vehicules@gmail.com
ANCIENNES VOITURES DES BLANCHES FALAISES,76840 Hénouville,02 35 34 68 92,dominique.ragot@avbf.fr,,http://www.avbf.fr,retrocalage,ANCIENNES VOITURES DES BLANCHES FALAISES,email: dominique.ragot@avbf.fr
ASSOCIATION DE LA MONTÉE HISTORIQUE DE LAON,02000 Laon,09 67 22 83 58,circuit-historique-laon@orange.fr,,http://www.circuit-historique-laon.com,retrocalage,CIRCUIT HISTORIQUE DE LAON ET DE L'AISNE EN HAUTS-DE-FRANCE,email: circuit-historique-laon@orange.fr
CALANDRE RÉTRO ROUENNAISE,76410 St-Aubin-les-Elbeuf,02 35 78 25 54,fcrochemore@msn.com,,https://www.calandreretro.fr/Calandres/,retrocalage,CALANDRE RÉTRO ROUENNAISE,email: fcrochemore@msn.com
ANCIENNES AUTOMOBILES AJACCIENNES,20090 Ajaccio,06 81 50 90 03,michel.boronat@club3a.fr,,http://club3a.fr,retrocalage,ANCIENNES AUTOMOBILES AJACCIENNES,email: michel.boronat@club3a.fr
LES SIXTIES D'AUBIGNAN,84200 Carpentras,06 20 22 11 67,lessixtiesdaubignan@gmail.com,,,retrocalage,LES SIXTIES D'AUBIGNAN,email: lessixtiesdaubignan@gmail.com
ÉCURIE DES LAPINS,69870 Poule-les-Écharmeaux,04 74 62 33 09,ecuriedeslapins@orange.fr,,,retrocalage,ÉCURIE DES LAPINS,email: ecuriedeslapins@orange.fr
YOUNG OLD TIMER CLUB,78000 Versailles,06 17 69 84 46,Youngoldtimerclub@hotmail.fr,,http://www.facebook.com/youngoldtimerclub,retrocalage,L'ÉTRIER,tel: 0617698446
PASSION SAAB,91600 Savigny-sur-Orge,06 30 56 10 09,passion.saab@gmail.com,,http://www.club-passion-saab.fr,retrocalage,CLUB PASSION SAAB,email: passion.saab@gmail.com
SUCY CLASSIC CLUB,94370 Sucy-en-Brie,06 76 16 00 39,sucyclassicclub@gmail.com,,http://sucyclassic.fr,retrocalage,SUCY CLASSIC CLUB,email: sucyclassicclub@gmail.com
AMICALE FROUZINOISE AUTO-MOTO ANCIENNES,31270 Frouzins,05 61 92 49 11,amicale.frouzinoise@orange.fr,,http://www.amicalefrouzinoise.fr,retrocalage,AMICALE FROUZINOISE AUTO-MOTO ANCIENNES,email: amicale.frouzinoise@orange.fr
CALANDRES LOISIRS UNIS BONNEVILLE SAVOIE,74800 Amancy,04 50 03 43 44,df64@orange.fr,,http://www.letourdumontblanc.com,retrocalage,C.L.U.B. SAVOIE,tel: 0450034344
AMIC4LE DE TOUR4INE,41120 Feings,06 59 95 84 41,contact.amicaledetouraine@gmail.com,,https://amic4ledetour4ine.fr,retrocalage,AMIC4LE DE TOUR4INE,email: contact.amicaledetouraine@gmail.com
AUTOMOBILE CLUB DE NICE ET CÔTE D'AZUR,06000 Nice,04 93 87 18 17,contact@automobileclubdenice.com,,http://www.automobileclubdenice.com,retrocalage,AUTOMOBILE CLUB DE NICE ET DE CÔTE D'AZUR,tel: 0493871817
AUTO RÉTRO COTENTIN,50260 Sottevast,02 33 41 06 98,yves.bernede@orange.fr,,http://auto-retro-cotentin.over-blog.com,retrocalage,AUTO RÉTRO COTENTIN 50,email: yves.bernede@orange.fr
ECURIE AUTOMOBILE DU COMMINGES,31510 Sauveterre-de-Comminges,05 61 95 45 58,ecurie.automobile.comminges@wanadoo.fr,,https://www.facebook.com/EcurieAutomobileDuComminges,retrocalage,ÉCURIE AUTOMOBILE DU COMMINGES,email: ecurie.automobile.comminges@wanadoo.fr
CLUB MATRA PASSION,92140 Clamart,01 46 44 80 51,president@matra-passion.com,,http://www.matra-passion.com,retrocalage,CLUB MATRA-PASSION,email: president@matra-passion.com
LES BELLES TEUFS TEUFS DE CADEROUSSE,84860 Caderousse,06 22 74 25 20,lesbellesteufsteufs@sfr.fr,,,retrocalage,LES BELLES TEUFS TEUFS,email: lesbellesteufsteufs@sfr.fr
AMICALE DES VEHICULES ANCIENS DE GAILLAC,81600 Gaillac,06 28 36 12 43,avag81@orange.fr,,http://avag81.com,retrocalage,AMICALE DES VÉHICULES ANCIENS DE GAILLAC - AVAG,email: avag81@orange.fr
RETRO MECA CENTRE,36120 Ardentes,06 31 78 30 37,retromecacentre36@gmail.com,,https://retromecacentre.e-monsite.com,retrocalage,RÉTRO MÉCA CENTRE - RMC,email: retromecacentre36@gmail.com
CLUB DE VOITURES D'ÉPOQUE ET DE COLLECTION,21121 Hauteville-lès-Dijon,03 80 56 23 05,cvec.dijon@gmail.com,,,retrocalage,CLUB DE VOITURES D'ÉPOQUE ET DE COLLECTION - CVEC,email: cvec.dijon@gmail.com
CLUB AUTO RETRO MIDI-PYRENÉES,31770 Colomiers,06 03 31 05 16,carmp@wanadoo.fr,,http://www.carmp.fr,retrocalage,CLUB AUTO RÉTRO MIDI-PYRÉNÉES - CARMP,email: carmp@wanadoo.fr
LE 32 DEUCHE CLUB,32380 Saint-Clar,06 72 48 06 36,le32deucheclub@gmail.com,,http://www.le32deucheclub.fr,retrocalage,LE 32 DEUCHE CLUB,email: le32deucheclub@gmail.com
FURIOUS CELICA TEAM,34420 Portiragnes,06 22 27 65 00,celica.clubfct@gmail.com,,,retrocalage,CLUB CELICA FRANCE,email: celica.clubfct@gmail.com
ASSOCIATION VÉHICULES ANCIENS DU VALMOREY,01510 Artemare,04 79 8731 17,avaval.president@outlook.fr,,https://www.facebook.com/groups/567860855471792/,retrocalage,ASSOCIATION DES VÉHICULES ANCIENS DU VALROMEY - AVAVAL,email: avaval.president@outlook.fr
RENAISSANCE AUTO RAMBOUILLET - POIGNY-LA-FORET,78120 Rambouillet,06 82 26 83 43,renaissanceauto@orange.fr,,http://www.renaissanceauto.org,retrocalage,RENAISSANCE AUTO RAMBOUILLET,email: renaissanceauto@orange.fr
ASA BEAUNE SPORT AUTOMOBILE VHC,21000 Dijon,06 26 87 85 84,fbelorgey@yahoo.fr,,,retrocalage,ASA BEAUNE / FFSA,email: fbelorgey@yahoo.fr
BOURGOGNE HISTORIC CAR ORGANISATION,21000 Dijo,06 26 87 85 84,fbelorgey@yahoo.fr,,http://urcysixties.centerblog.net,retrocalage,ASA BEAUNE / FFSA,email: fbelorgey@yahoo.fr
FLOCAR - Section Sud-ouest,40000 Mont-de-Marsan,05 58 06 92 13,contact@flocar-sudouest.fr,,http://flocar-sudouest.fr,retrocalage,FLOCAR SUD-OUEST,email: contact@flocar-sudouest.fr
JADIS AUTO ORLEANAIS,45770 Saran,02 38 74 00 57,contact@jadis-auto.com,,http://www.jadis-auto.com,retrocalage,JADIS AUTO ORLÉANAIS,email: contact@jadis-auto.com
TEAM VASIO ROMAIN,84110 Vaison-la-Romaine,04 90 28 79 01,teamvasioromain@orange.fr,,http://teamvasioromain.com,retrocalage,TEAM VASIO ROMAIN,email: teamvasioromain@orange.fr
PASSION MORDU CAISSE ANCIENNE,59600 Vieux-Reng,06 09 01 41 51,gilles.borderieux@free.fr,,,retrocalage,PASSION MORDU CAISSE ANCIENNE,email: gilles.borderieux@free.fr
UZERCHE AUTO-RETRO,19140 Uzerche,05 55 98 43 04,uzerche-auto-retro@orange.fr,,https://www.facebook.com/p/Officiel-Autoretro-Uzerche-100057872970889/,retrocalage,UZERCHE AUTO RÉTRO,email: uzerche-auto-retro@orange.fr
RETROMOBILE CLUB DU HAVRE - LA ROUE EN BOIS,76930 Octeville-sur-Mer,02 35 44 80 55,la.roue.en.bois@gmail.com,,https://retromobileclubduhavre.fr,retrocalage,RÉTROMOBILE CLUB DU HAVRE LA ROUE EN BOIS,email: la.roue.en.bois@gmail.com
CLUB ALPINE COTE D'AZUR,06270 Villeneuve,04 93 24 20 88,alpinecotedazur@gmail.com,,http://www.alpinecotedazur.com,retrocalage,CLUB ALPINE CÔTE D'AZUR,email: alpinecotedazur@gmail.com
CLUB RETRO AUTO CATALOGNE,66110 Amélie-les-Bains,07 86 12 25 98,gerard@pouzens.com,,,retrocalage,CLUB RÉTRO AUTO CATALOGNE 66 - CRAC 66,email: gerard@pouzens.com
AMICALE DES VEHICULES ANCIENS DE CHEVIGNY SAINT SAUVEUR,21171 Chevigny-Saint-Sauveur,06 44 89 37 26,jean-marc.boillet@sfr.fr,,http://www.club-avac.fr,retrocalage,AMICALE DES VÉHICULES ANCIENS DE CHEVIGNY-ST-SAUVEUR - AVAC,email: jean-marc.boillet@sfr.fr
VEHICULES ANCIENS RHONE PILAT,42520 Veranne,06 62 16 74 34,contact.varp@gmail.com,,https://www.vehiculesanciensrhonepilat.com,retrocalage,VÉHICULES ANCIENS RHÔNE-PILAT,email: contact.varp@gmail.com
2 CV CLUB TOUS TERRAINS,71450 Blanzy,03 85 68 08 36,jean-pierre.marchandon@wanadoo.fr,,http://2cvclubtousterrains.blog.free.fr,retrocalage,2 CV TOUS TERRAINS,email: jean-pierre.marchandon@wanadoo.fr
2 CV CLUB LUBERON VENTOUX,84740 Velleron,06 81 93 40 49,2cvluberonventoux@gmail.com,,http://2cvclubluberonventoux.fr,retrocalage,2 CV CLUB LUBERON-VENTOUX,email: 2cvluberonventoux@gmail.com
2 CV CLUB HERAULT,34660 Cournonsec,06 65 76 19 57,deuchclubherault@yahoo.fr,,,retrocalage,2 CV CLUB HÉRAULT,email: deuchclubherault@yahoo.fr
LES SOUPAPES AVIGNONNAISES,30133 Les,04 90 38 59 57,les.soupapes-avignonnaises@orange.fr,,http://www.lesrendezvousdelareine.com,retrocalage,LES SOUPAPES AVIGNONNAISES,email: les.soupapes-avignonnaises@orange.fr
AUTO RETRO DE L'ALBANAIS,74150 Rumilly,06 95 48 89 76,auto.retro.albanais@gmail.com,,,retrocalage,CLUB AUTO RÉTRO DE L'ALBANAIS,email: auto.retro.albanais@gmail.com
AUTOMOBILE CLUB D'AIX EN PROVENCE,13100 Aix-en-Provence,04 42 23 33 73,aca@autoclubaix.com,,http://www.autoclubaix.com,retrocalage,AUTOMOBILE CLUB D'AIX-EN-PROVENCE ET DU PAYS D'AIX,email: aca@autoclubaix.com
C.A.R. OCCITAN,81310 Lisle-sur-Tarn,05 63 40 42 35,jj.lherm@gmail.com,,http://www.caroccitan.fr,retrocalage,CAR OCCITAN - CLUB DES AMATEURS D'ANCIENNES RENAULT,email: jj.lherm@gmail.com
AMERISUD,64110 Mazères-Lezons,07 66 24 57 61,info@amerisud.fr,,http://www.amerisud.fr,retrocalage,AMERISUD,tel: 0766245761
ISSOIRE COURNON RETROMOBILE CLUB,63450 Tallende,04 73 39 47 69,jean-luc.meylheuc@orange.fr,,http://www.issoire-cournon-retromobile-club.org,retrocalage,ISSOIRE COURNON RÉTROMOBILE CLUB,tel: 0473394769
LIMOUSIN CLUB ALPINE GORDINI,87350 Panazol,05 55 06 01 43,lcag@orange.fr,,http://www.lcag87.fr,retrocalage,LIMOUSIN CLUB ALPINE GORDINI,email: lcag@orange.fr
ASSOCIATION PRV CONCEPT,78730 Saint-Arnoult-en-Yvelines,06 72 94 71 06,cedric.barme@gmail.com,,http://www.prv-concept.com,retrocalage,ASSOCIATION PRV CONCEPT,email: cedric.barme@gmail.com
UNE TRACTION POUR JEAN MOULIN,71300 Montceau-les-Mines,03 85 57 23 10,une-traction-pour-jean-moulin@gmx.fr,,http://www.une.traction.pour.jean.moulin.over-blog.com,retrocalage,UNE TRACTION POUR JEAN MOULIN,email: une-traction-pour-jean-moulin@gmx.fr
RETROMOBIL CLUB DE TULLE CORREZE,19000 Tulle,05 55 20 39 99,retromobiltulle@gmail.com,,https://www.retromobilclubtulle.com,retrocalage,RÉTROMOBIL CLUB DE TULLE CORRÈZE,email: retromobiltulle@gmail.com
PORSCHE CLUB MEDITERRANEE,34750 Villeneuve-lès-Maguelone,04 67 69 48 92,,,http://www.mediterranee-porscheclub.fr,retrocalage,PORSCHE CLUB MÉDITERRANÉE,tel: 0467694892
CLASSIC VW CATALAN,66000 Perpignan,04 68 54 70 92,classicvwcatalan@free.fr,,,retrocalage,CLASSIC VW CATALAN,email: classicvwcatalan@free.fr
LES CHEVRONNES,21220 Gevrey-Chambertin,03 80 51 83 44,contact@leschevronnes.fr,,http://leschevronnes.fr,retrocalage,LES CHEVRONNÉS,email: contact@leschevronnes.fr
AUTO RETRO CLUB HERBLAYSIEN,95220 Herblay,06 78 76 72 52,autoretroclub@orange.fr,,http://auto-retro-club-herblaysien.over-blog.fr,retrocalage,AUTO RÉTRO CLUB HERBLAYSIEN,email: autoretroclub@orange.fr
ASSOCIATION SAINT QUENTINOISE DE LA BELLE AUTOMOBILE,02100 Saint-Quentin,06 07 68 00 71,secretariat.asqba@gmail.com,,http://asqba.fr,retrocalage,ASSOCIATION SAINT-QUENTINOISE DE LA BELLE AUTOMOBILE - ASQBA,email: secretariat.asqba@gmail.com
RETROCHAP,45380 La,02 38 43 60 90,ray.adamczyk@gmail.com,,http://www.retrochap.fr,retrocalage,RÉTROCHAP,email: ray.adamczyk@gmail.com
AMICALE DENIS PAPIN,31530 Lévignac,06 34 17 70 12,a.d.p.amicaledenispapin@orange.fr,,http://www.amicaledenispapin.com,retrocalage,AMICALE DENIS PAPIN,email: a.d.p.amicaledenispapin@orange.fr
JAGUAR E-TYPE CLUB,,06 03 35 00 07,club.e.type@gmail.com,,http://www.e-typeclub.com,retrocalage,XK CLUB,email: club.e.type@gmail.com
MUSÉE BOURGUIGNON POUR LA PRÉSERVATION DES VÉHICULES MILITAIRES,21068 Dijon,03 80 42 90 08,getc.boulanger@wanadoo.fr,,https://www.facebook.com/p/Musee-Bourguignon-Pour-La-Preservation-Des-Vehicules-Militaires-100063465136065,retrocalage,MUSÉE BOURGUIGNON POUR LA PRÉSERVATION DES VÉHICULES MILITAIRES,email: getc.boulanger@wanadoo.fr
CLUB AUTO RETRO DES MONTS DU SOIR,42600 Montbrison,06 85 02 83 19,carms42600@gmail.com,,http://www.autoretro-montbrison.fr,retrocalage,CARMS - CLUB AUTO RÉTRO DES MONTS DU SOIR,email: carms42600@gmail.com
AMICALE R15 R17,54620 Bazailles,06 78 17 30 95,m.bizet@wanadoo.fr,,http://amicale.r15r17.pagesperso-orange.fr,retrocalage,AMICALE R15 ET R17,tel: 0678173095
BOURGOGNE AMERICAN CARS CLUB,21160 Marsannay-la-Côte,06 71 84 22 24,bacc@wanadoo.fr,,http://www.bac-club.com,retrocalage,BOURGOGNE AMERICAN CARS CLUB,email: bacc@wanadoo.fr
CLUB AMATEUR RENAULT COTE D'OR,21550 Ladoix-Serrigny,03 80 26 40 81,marechal.jeanluc@free.fr,,,retrocalage,CARCO,tel: 0380264081
CLUB PASSION 2CV - 2CV PASSION,84750 Saint-Martin-de-Castillon,04 90 75 14 36,passion_2cv@hotmail.fr,,https://passion2cv-2cvpassion.sitew.fr,retrocalage,PASSION 2 CV-2 CV PASSION,email: passion_2cv@hotmail.fr
AMI DEUCHE CHALONNAIS,71100 Chalon-Sur-Saône,,ami-deuche-chalonnais@wanadoo.fr,,https://ami2cvchalonnais.jimdofree.com,retrocalage,AMI-DEUCHE CHALONNAIS,email: ami-deuche-chalonnais@wanadoo.fr
HOTCHKISS GRAND SUD,06340 Cantaron,06 07 25 28 23,claudealquierhgs@free.fr,,,retrocalage,HOTCHKISS GRAND SUD,tel: 0607252823
FREGATE CLUB DE FRANCE,77610 La,01 64 07 40 22,gerard.battaglia@fregate-renault.org,,http://www.fregate-renault.org,retrocalage,FRÉGATE CLUB DE FRANCE,email: gerard.battaglia@fregate-renault.org
MUSEO VIVO PROVENCE,13001 Aix-en-Provence,06 84 84 15 11,museovivoprovence@gmail.com,,https://www.facebook.com/Museo-Vivo-Provence-376424853153883/,retrocalage,MUSEO VIVO PROVENCE,email: museovivoprovence@gmail.com
LES ANCIENS RETROVISEURS NOISEENS,93160 Noisy-Le-Grand,,larn@orange.fr,,http://www.larn-noisylegrand.fr,retrocalage,LES ANCIENS RÉTROVISEURS NOISÉENS - L.A.R.N.,email: larn@orange.fr
AUTO RETRO AVEYRONNAIS,12450 La,05 65 71 99 94,autoretro.aveyronnais@yahoo.fr,,http://www.autoretro-aveyronnais.fr,retrocalage,AUTO RÉTRO AVEYRONNAIS,email: autoretro.aveyronnais@yahoo.fr
LES P'TITS BOLIDES DU VERON,37420 Savigny-en-Véron,02 47 58 93 32,bolidesduveron@gmail.com,,https://ptitsbolidesduveron.fr,retrocalage,P'TITS BOLIDES DU VÉRON,email: bolidesduveron@gmail.com
RETRORENCARD,67100 Strasbourg,06 86 55 00 56,,,http://retrorencard.com,retrocalage,RÉTRORENCARD,tel: 0686550056
SYMPATHISANTS D'AUTOS POPULAIRES D'AQUITAINE RÉUNIS,64510 Assat,06 60 29 60 92,club.sapar64@gmail.com,,https://www.sapar64vehiculesanciens.com,retrocalage,SYMPATHISANTS D'AUTOS POPULAIRES D'AQUITAINE REUNIS - SAPAR 64,email: club.sapar64@gmail.com
LES CALANDRES CLERMONTAISES,34230 Paulhan,06 87 08 90 92,,,https://www.calandresclermontaises.fr,retrocalage,LES CALANDRES CLERMONTAISES,tel: 0687089092
A LA RECHERCHE DES AUTOS PERDUES,77600 Guermantes,01 60 07 73 82,autosperdues@hotmail.fr,,http://www.alarecherchedesautosperdues.fr,retrocalage,À LA RECHERCHE DES AUTOS PERDUES,email: autosperdues@hotmail.fr
AMICALE 5HP CITROËN,45640 Sandillon,06 78 13 22 68,amicale5hp@free.fr,,http://amicale5hp.free.fr,retrocalage,AMICALE 5 HP CITROËN,email: amicale5hp@free.fr
GAGNY AUTO RETRO,93220 Gagny,06 88 40 76 60,ericbourgueil@hotmail.fr,,http://www.gagnyautoretro.club,retrocalage,GAGNY AUTO RÉTRO,email: ericbourgueil@hotmail.fr
ECURIE 28,28200 Chateaudun,02 37 45 23 96,association@ecurie28.fr,,http://www.ecurie28.fr,retrocalage,ASA - ÉCURIE 28,tel: 0237452396
XM CLUB DE FRANCE,77000 Melun,,xmclubdefrance@icloud.com,,http://xmclub.free.fr,retrocalage,XM CLUB DE FRANCE,email: xmclubdefrance@icloud.com
CLUB DES ANCIENNES AUTOMOBILES VAROISES,83200 Toulon,07 67 48 14 49,secretariat@lecaav.com,,http://www.lecaav.com,retrocalage,CLUB DES ANCIENNES AUTOMOBILES VAROISES - CAAV,email: secretariat@lecaav.com
CLUB RETROMOBILE DU VAL DE CHER,41120 Cormeray,02 54 44 29 15,d.vdlinde@sfr.fr,,,retrocalage,CLUB RÉTROMOBILE DU VAL-DE-CHER - CRVC,email: d.vdlinde@sfr.fr
AMATEURS CLUB CG,08250 Termes,03 24 30 34 67,amateurclubcg@orange.fr,,,retrocalage,AMATEURS CLUB CG,email: amateurclubcg@orange.fr
SISTERON RETRO PASSION,04200 Sisteron,06 07 54 05 39,sisteronretropassion@hotmail.fr,,,retrocalage,SISTERON RÉTRO PASSION,email: sisteronretropassion@hotmail.fr
AMATEURS ET COLLECTIONNEURS D'AUTOMOBILES DE TOURAINE,37550 Saint-Avertin,02 47 28 08 23,contact@acat-autos-37.fr,,http://www.acat-autos-37.fr,retrocalage,AMATEURS ET COLLECTIONNEURS D'AUTOMOBILES DE TOURAINE - ACAT,email: contact@acat-autos-37.fr
TOUQUET AUTOMOBILES DE COLLECTION,62520 Le,,patrickgonet2@gmail.com,,http://tac62.fr,retrocalage,TOUQUET AUTOMOBILES DE COLLECTION,email: patrickgonet2@gmail.com
ALPINE CLUB MEDITERRANNEE,13124 Peypin,04 42 82 81 70,alpine.club.med@free.fr,,,retrocalage,ALPINE CLUB MÉDITERRANÉE,email: alpine.club.med@free.fr
CLUB DES ANCIENNES CHAROLAIS ARROUX MORVAN,71320 Toulon-sur-Arroux,06 08 68 32 57,daniel.gouvier@wanadoo.fr,,,retrocalage,CLUB DES ANCIENNES-CHAROLAIS-ARROUX-MORVAN,email: daniel.gouvier@wanadoo.fr
CLUB PEUGEOT 403-203 - Section Franc-Comtoises,70230 Filain,06 20 62 81 39,club403@laposte.net,,http://www.peugeot403-203.net,retrocalage,CLUB PEUGEOT 403-203 FRANC-COMTOISES,email: club403@laposte.net
CLUB DE VEHICULES ANCIENS D'ALSACE-MULHOUSE,68053 Mulhouse,06 07 60 23 50,secretaire-cvaam@orange.fr,,http://www.cvaam.com,retrocalage,CLUB DE VÉHICULES ANCIENS D'ALSACE MULHOUSE - CVAAM,email: secretaire-cvaam@orange.fr
LE WAGON BLEU,34380 Viols-le-Fort,06 32 64 29 84,gauthier.gotwagon@wanadoo.fr,,http://www.wagon-bleu.org,retrocalage,LE WAGON BLEU,email: gauthier.gotwagon@wanadoo.fr
RAVERA/6A,62000 Arras,07 68 48 01 36,ravera.6a@gmail.com,,http://www.ravera-6a.fr,retrocalage,REGROUPEMENT DES AMOUREUX DE VÉHICULES D'ÉPOQUE DE LA RÉGION D'ARTOIS - RAVERA,email: ravera.6a@gmail.com
CLUB 71 DES VOITURES ANCIENNES,71100 Chalon-sur-Saône,06 08 87 83 43,richard.eric2@wanadoo.fr,,,retrocalage,CLUB 71 DES VOITURES ANCIENNES,email: richard.eric2@wanadoo.fr
PASSION AUTOMOBILES,06340 La,04 93 54 70 64,asso.pierre@gmail.com,,http://autopassion06.org,retrocalage,PASSION AUTOMOBILES,email: asso.pierre@gmail.com
AUTOMOBILE CLUB CANNES COTE D'AZUR,06400 Cannes,06 11 01 01 54,automobileclub-cannes@hotmail.fr,,http://www.automobileclubcannes.fr,retrocalage,AUTOMOBILE CLUB CANNES CÔTE D'AZUR,email: automobileclub-cannes@hotmail.fr
AX CLUB DU SUD,13220 Châteauneuf-les-Martigues,04 88 43 42 58,fafa.ax@hotmail.fr,,http://axclubdusud.leforum.tv,retrocalage,PACA YOUNG,email: fafa.ax@hotmail.fr
SAINT-GOBAIN VEHICULES ANCIENS,02410 Saint-Gobain,,saintgobainvehiculesanciens@gmail.com,,,retrocalage,SAINT GOBAIN VÉHICULES ANCIENS,email: saintgobainvehiculesanciens@gmail.com
TACOT CLUB GAVOT,05000 Gap,04 92 51 47 99,jm.belier@laposte.net,,,retrocalage,TACOT CLUB GAVOT,email: jm.belier@laposte.net
OPALE CLASSIC CARS,62280 Saint-Martin-Boulogne,09 53 27 87 41,Opale.classic.cars@gmail.com,,,retrocalage,OPALE CLASSIC CARS,email: opale.classic.cars@gmail.com
CLUB AUTOMANIA 57,57320 Bouzonville,06 75 02 65 17,clubautomania57@gmail.com,,http://automania57.com,retrocalage,CLUB AUTOMANIA 57,email: clubautomania57@gmail.com
PHOCEA PRODUCTIONS,13170 Les,,phoceaproduction@aol.com,,http://www.phocea-productions.fr,retrocalage,PHOCÉA PRODUCTIONS,email: phoceaproduction@aol.com
ECURIE MAUVE HISTORIQUE,87590 Saint-Just-le-Martel,06 88 84 72 78,giguillon@laposte.net,,http://www.ecuriemauvehistorique.fr,retrocalage,ÉCURIE MAUVE HISTORIQUE,email: giguillon@laposte.net
AMICALE DES AUTOMOBILES POPULAIRES 50/70,91170 Viry-Châtillon,06 89 34 57 79,aap5070@sfr.fr,,http://www.amicaleautospopulaires5070.com,retrocalage,AMICALE DES AUTOMOBILES POPULAIRES 50/70,email: aap5070@sfr.fr
MECA PASSION 21,21370 Velars-sur-Ouche,07 86 26 02 21,mecapassion21.contact@gmail.com,,,retrocalage,MÉCA PASSION 21,email: mecapassion21.contact@gmail.com
